index	question	sentence	"label
"	
109758	How long has the African Great Lakes region been inhabited?	"The borders of the modern state consequently comprise the crossroads of the Niger-Congo, Nilo-Saharan and Afroasiatic areas of the continent, representing most major ethnolinguistic groups found in Africa."	"not_entailment
"	
109823	What percent of the global assets in 2000 were owned by just 1% of adults?	"A January 2014 report by Oxfam claims that the 85 wealthiest individuals in the world have a combined wealth equal to that of the bottom 50% of the world's population, or about 3.5 billion people."	"not_entailment
"	a
106621	How many homes did the Alta Vista Tract have five years after Billings & Meyering acquired it?	"The Alta Vista Tract, as the land would become known, was mapped by William Stranahan for the Pacific Improvement Corporation, and was officially platted in 1911."	"not_entailment
"	
104863	What kind of weapons did Tesla's treatise concern?	Tesla published the document in an attempt to expound on the technical description of a "superweapon that would put an end to all war.	not_entailment	a
109973	What is  the time rate of change of electric charge?	The connection between electricity and magnetism allows for the description of a unified electromagnetic force that acts on a charge.	"not_entailment
"	
105068	When did seven Protestant churches agree with the Nazi policy of forcing Jews to wear yellow arm bands?	"""The German people, he urged, ought to heed these words """"of the greatest antisemite of his time, the warner of his people against the Jews."""""""	"not_entailment
"	
104933	Where is the largest number of tourist coming from?	Tourism has seen a substantial revival over the past several years and is the major contributor to the pick-up in the country's economic growth.	"not_entailment
"	
108629	By when did the Germanic tribes conquer the Celtic peoples?	"""However, there was no real systemic continuity from the Western Roman Empire to its German successor which was famously described as """"not holy, not Roman, and not an empire"""", as a great number of small states and principalities existed in the loosely autonomous confederation."""	"not_entailment
"	
106978	When is the suspended team scheduled to return?	"From 2005 to 2014, there were two Major League Soccer teams in Los Angeles "	"not_entailment
"	
107424	In what year was the agreement to allow the Saarland settlement reached?	"The community and its congregation remain active to this day, with descendants of many of the founding families still living in the region."	"not_entailment
"	
107862	What was the estimated population of Pons Aelius around the 2nd century?	"It was given the family name of the Roman Emperor Hadrian, who founded it in the 2nd century AD."	"not_entailment
"	
108748	What is the House of Tides?	"Stairs from the riverside to higher parts of the city centre and the extant Castle Keep, originally recorded in the 14th century, remain intact in places."	"not_entailment
"	
107467	What monastery did the Saint-Evroul monks establish in Italy?	"At Saint Evroul, a tradition of singing had developed and the choir achieved fame in Normandy."	"not_entailment
"	
109301	What was Maria Curie the first female recipient of?	"Though Chopin was born in the village of ?elazowa Wola, about 60 km (37 mi) from Warsaw, he moved to the city with his family when he was seven months old."	"not_entailment
"	
108256	The production of what signalling molecules is regulated by the immune system?	It is conjectured that a progressive decline in hormone levels with age is partially responsible for weakened immune responses in aging individuals.	"not_entailment
"	
106162	What are the Siouan-speaking tribes?	"""It was not uncommon for small bands to participate on the """"other side"""" of the conflict from formally negotiated agreements, as most tribes were decentralized and bands made their own decisions about warfare."""	"not_entailment
"	
104924	What government agency supervised Buddhist monks?	"As a result, Tibetan Buddhism was established as the de facto state religion."	"not_entailment
"	
104893	Which regions have temperate climates?	"According to geographic scholars under colonizing empires, the world could be split into climatic zones."	"not_entailment
"	
109454	When did the four rightly guided Caliphs die?	"""This is believed to have ended the true Islamic system, something for which it blames """"the disbelieving (Kafir) colonial powers"""" working through Turkish modernist Mustafa Kemal Atatrk."""	"not_entailment
"	
109862	What local radio station is broadcast by the Corporation from the Pink Palace?	"The entrance to studio 5 at the City Road complex gave its name to the 1980s music television programme, The Tube."	"not_entailment
"	
107410	"After its re-opening, which types of movies did the Tower Theatre show?"	Also in the Tower District is Good Company Players' 2nd Space Theatre.	"not_entailment
"	
107150	When was a study conducted of Swedish counties?	"Studies of larger data sets have found no correlations for any fixed lead time, and a negative impact on the duration of growth."	"not_entailment
"	
106715	What is the name of contemporary Mongolian currency?	There have been repeated discussions about regulating the use of his name and image to avoid trivialization.	"not_entailment
"	
105375	What lands were reserved for natives?	"""When accommodations were made in the Quebec Act in 1774 to address this and other issues, religious concerns were raised in the largely Protestant Thirteen Colonies over the advance of """"popery""""; the Act maintained French Civil law, including the seigneurial system, a medieval code soon to be removed from France within a generation by the French Revolution."""	"not_entailment
"	
104748	What year did the the case go before the supreme court?	"""For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, """"Wise up or die."""""""	"not_entailment
"	
108065	What is the legislature of the European Union comprised of?	The main sources of primary law are the Treaties establishing the European Union.	"not_entailment
"	
109533	What can it sometimes take up to 14 years to get permission to build on?	Other causes of extra-legal property are failures to notarize transaction documents or having documents notarized but failing to have them recorded with the official agency.	"not_entailment
"	
107059	Is the Pope's confessor a Bishop?	"""Orthodox Catholic, and Protestant/Non-Denominational, with a stronger tradition of spiritual formation in the more historic and authoritarian/hierarchical Christian traditions with a long tradition of """"discernment of spirits"""", of vocations, and other aspects of spiritual life, especially the Roman and Orthodox Catholic Churches."""	"not_entailment
"	
106696	In what year was the school renamed as Harvard College?	"""It was initially called """"New College"""" or """"the college at New Towne""""."""	"not_entailment
"	
106791	Who was the head of the household that Temjin joined when he was nine years old?	"Temjin was to live there in service to Dai Setsen, the head of the new household, until he reached the marriageable age of 12."	not_entailment	m
107423	When did Syria and Egypt launch a surprise attack on Israel?	"At the time, Iran was the world's second-largest oil exporter and a close US ally."	"not_entailment
"	
106305	The censuring of the Santer Commission  resulted in which main case?	"Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro."	"not_entailment
"	
109686	What year was the ECSC agreement established?	This was the first time that competition law principles were included in a plurilateral regional agreement and established the trans-European model of competition law.	"not_entailment
"	
107600	What famous person congratulated him?	"""The cover caption """"All the world's his power house"""" noted his contribution to electrical power generation."""	"not_entailment
"	m
105279	What influence did Al Banna wish to eliminate from the Muslim world?	"Roughly contemporaneous with Maududi was the founding of the Muslim Brotherhood in Ismailiyah, Egypt in 1928 by Hassan al Banna."	"not_entailment
"	
105560	When did the North American French and Indian War end?	"The British offered France the choice of surrendering either its continental North American possessions east of the Mississippi or the Caribbean islands of Guadeloupe and Martinique, which had been occupied by the British."	"not_entailment
"	
107649	Which type of livestock was the argricultural region known for?	"Although military spending cutbacks have had an impact, aerospace continues to be a major factor."	"not_entailment
"	
106794	When will Ford's manufacturing plants close?	"Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plantsin Broadmeadows and Geelongwill close in October 2016)."	entailment	a
106624	What is the yearly cost of some notable prep schools in New England?	"In the United Kingdom and several other Commonwealth countries including Australia and Canada, the use of the term is generally restricted to primary and secondary educational levels; it is almost never used of universities and other tertiary institutions."	"not_entailment
"	
108420	Who are some of the best rally drivers that have won the rally?	"Although the rally still runs annually as part of the Africa rally championship, the organisers are hoping to be allowed to rejoin the World Rally championship in the next couple of years."	"not_entailment
"	
106789	Where was the location of the 2003 Rose revolution?	One of its earliest massive implementations was brought about by Egyptians against the British occupation in the 1919 Revolution.	"not_entailment
"	
105095	Who authored the Liber servitoris?	"His Liber servitoris is of particular interest, as it provides the reader with recipes and explains how to prepare the `simples from which were compounded the complex drugs then generally used."	"not_entailment
"	
109648	Strang is an Anglo-Saxon word which means what in modern English?	The Geordie dialect has much of its origins in the language spoken by the Anglo-Saxon populations who migrated to and conquered much of England after the end of Roman Imperial rule.	"not_entailment
"	
106693	By which year did the American cars mpg start to improve?	"An increase in imported cars into North America forced General Motors, Ford and Chrysler to introduce smaller and fuel-efficient models for domestic sales."	"not_entailment
"	
107551	What led to the production of tea paraphernalia such as china and caddies during the Georgian period?	"In the Victorian era new technology and machinery had a significant effect on manufacturing, and for the first time since the reformation, the Anglican and Roman Catholic Churches had a major effect on art and design such as the Gothic Revival."	"not_entailment
"	
106787	In what city is SAP Center located?	"The event was held on February 1, 2016 at SAP Center in San Jose."	not_entailment	m
106012	How many customaries does Norman customary law have?	The customary law of Normandy was developed between the 10th and 13th centuries and survives today through the legal systems of Jersey and Guernsey in the Channel Islands.	"not_entailment
"	
106965	what did he do for $2 a day?	He even lost control of the patents he had generated since he had assigned them to the company in lieu of stock.	"not_entailment
"	
109585	What building was a gift from the Soviet Union?	The city resumed its role as the capital of Poland and the country's centre of political and economic life.	"not_entailment
"	
108018	What school did both Hank Marvin and Bruce Welch attend?	"Multiple circumnavigator David Scott Cowper, Nobel Prize winning physicist Peter Higgs, and former WWE NXT champion Neville were born in the city."	"not_entailment
"	
105198	What is the guidebook for local churches and pastors?	The church conference is an annual meeting of all the officers of the church and any interested members.	"not_entailment
"	
106613	Which Doctors were highlighted on the first audio releases on CD?	"The earliest of these featured the Fifth, Sixth and Seventh Doctors, with Paul McGann's Eight Doctor joining the line in 2001."	entailment	m
106934	Which cathedral is located in Fenham?	Another prominent church in the city centre is the Church of St Thomas the Martyr which is the only parish church in the Church of England without a parish and which is not a peculiar.	"not_entailment
"	
108730	What did Aristotle refer to forced motion as?	"Aristotle believed that motionless objects on Earth, those composed mostly of the elements earth and water, to be in their natural place on the ground and that they will stay that way if left alone."	"not_entailment
"	
107668	What was Brisbane's job?	"""Suppose I made up my mind to murder you,"""" he said, """"In a second you would know it."""	"not_entailment
"	a
107555	When was the divestment from South Africa movement?	"However, the university did eventually reduce its South African holdings by $230 million (out of $400 million) in response to the pressure."	"not_entailment
"	
107869	How many Huguenots were killed in Toulouse?	"Nearly 3,000 Protestants were slaughtered in Toulouse alone."	entailment	m
105677	By what other name was the Gate known?	"Such explanations have been traced to the contemporary, Reguier de la Plancha (d. 1560), who in De l'Estat de France offered the following account as to the origin of the name, as cited by The Cape Monthly:"	"not_entailment
"	
106684	"What articles state that unless conferred, powers remain with member states?"	"Many member state courts believe they decide, other member state Parliaments believe they decide, while within the EU, the Court of Justice believes it has the final say."	"not_entailment
"	
106606	What don't chloroplastidan chloroplasts have?	"Chloroplastidan chloroplasts have lost the peptidoglycan wall between their double membrane, and have replaced it with an intermembrane space."	entailment	a
110008	When did it retract to a inland formation?	"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species."	"not_entailment
"	
106617	What is the largest stadium in Australia?	"""The ground is also considered the """"spiritual home"""" of Australian cricket and Australian rules football, and hosts the grand final of the Australian Football League (AFL) each year, usually drawing crowds of over 95,000 people."""	"not_entailment
"	
109075	When did the Wahhabi seized the Grand Mosque in Mecca?	"Another motive for the large scale purchase of arms from the US by Saudi Arabia was the failure of the Shah during January 1979 to maintain control of Iran, a non-Arabic but largely Shiite Muslim nation, which fell to a theocratic Islamist government under the Ayatollah Ruhollah Khomeini in the wake of the 1979 Iranian Revolution."	"not_entailment
"	
108867	In 1755 what fort did British capture?	"In 1755, six colonial governors in North America met with General Edward Braddock, the newly arrived British Army commander, and planned a four-way attack on the French."	"not_entailment
"	
109085	Other theories of the word's origin can be generally classed as what?	"Some disagree with such double or triple non-French linguistic origins, arguing that for the word to have spread into common use in France, it must have originated in the French language."	"entailment
"	m
109619	On what date did Henry Kissinger negotiate an Israeli troop withdrawal from the Sinai Peninsula?	They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights.	"not_entailment
"	
109042	Who appoints the board of the European Central Bank?	"Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro."	"not_entailment
"	
106338	Which party is currently the largest among political party lines?	"""However its role participation in the legislative process still remains limited because no member can actually or pass legislation without the Commission and Council, meaning power (""""kratia"""") is not in the hands of directly elected representatives of the people (""""demos""""): in the EU it is not yet true that """"the administration is in the hands of the many and not of the few."""""""	"not_entailment
"	
105232	What was Ban Ki-Moon the Secretary General of?	"While acknowledging the central role economic growth can potentially play in human development, poverty reduction and the achievement of the Millennium Development Goals, it is becoming widely understood amongst the development community that special efforts must be made to ensure poorer sections of society are able to participate in economic growth."	"not_entailment
"	
109307	What was the name given to the regions in which the pro - slavery southerners lived?	"However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote."	"not_entailment
"	
105640	What does LGM stands for?	"There is debate, however, over how extensive this reduction was."	"not_entailment
"	
108436	What type of musical instruments did the Yuan bring to China?	Western musical instruments were introduced to enrich Chinese performing arts.	entailment	a
107534	"Though Turabi proclaimed his support for the democratic process, he strictly applied what after coming into power?"	"After al-Nimeiry was overthrown in 1985 the party did poorly in national elections, but in 1989 it was able to overthrow the elected post-al-Nimeiry government with the help of the military."	"not_entailment
"	
105372	What have the Treaties sought to enable since its foundation?	"""Free movement was increasingly based on """"citizenship"""", so that people had rights to empower them to become economically and socially active, rather than economic activity being a precondition for rights."""	"not_entailment
"	
105291	What governing body appoints commissioners and the board of European Central Bank?	"""The """"European Council"""" (rather than the Council, made up of different government Ministers) is composed of the Prime Ministers or executive Presidents of the member states."""	"entailment
"	m
107322	How many people in Quzhou are descended from Confucius?	The southern branch still remained in Quzhou where they lived to this day.	"not_entailment
"	
104785	Who was influential in promoting the use of chemical compounds as medicines?	"Living in the 10th century, he wrote The foundations of the true properties of Remedies, amongst others describing arsenious oxide, and being acquainted with silicic acid."	"not_entailment
"	
109756	When was the Special Report on Managing Risks of Extreme Events and Disasters to Advance Climate Change Adaptation (SREX) issued?	"In addition to climate assessment reports, the IPCC is publishing Special Reports on specific topics."	"not_entailment
"	
106070	What may explain why some Americans who've become rich may have had a head start?	"""According to PolitiFact the top 400 richest Americans """"have more wealth than half of all Americans combined."""""""	"not_entailment
"	
106723	When did ISIL pledge allegiance to al-Qaeda?	The group gained prominence after it drove Iraqi government forces out of key cities in western Iraq in a 2014 offensive.	"not_entailment
"	
105094	In what city's Marriott did the Broncos stay?	The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.	not_entailment	m
108487	What spurred increased support for government reform?	In 1964 all 15 of Duval County's public high schools lost their accreditation.	"entailment
"	a
107653	What are the exceptions in the constitution  that require special considerations to amend?	"Victoria has a written constitution enacted in 1975, but based on the 1855 colonial constitution, passed by the United Kingdom Parliament as the Victoria Constitution Act 1855, which establishes the Parliament as the state's law-making body for matters coming under state responsibility."	"not_entailment
"	
107970	Who reigned over the Ottoman empire when it was at its most powerful.	The Ottoman Empire was an imperial state that lasted from 1299 to 1923.	"not_entailment
"	
106768	When did the university decide to start multimillion-dollar expansion projects?	"During the same year, investor David G. Booth donated $300 million to the university's Booth School of Business, which is the largest gift in the university's history and the largest gift ever to any business school."	"not_entailment
"	
107906	Where did the president appoint cabinet members from?	The agreement stipulated that the cabinet would include a vice-president and two deputy Prime Ministers.	"not_entailment
"	
107591	How many people did Hamas kill between 2000 to 2007?	"Hamas has been praised by Muslims for driving Israel out of the Gaza Strip, but criticized for failure to achieve its demands in the 2008-9 and 2014 Gaza Wars despite heavy destruction and significant loss of life."	"not_entailment
"	a
106081	Where are Jersey and Guernsey	"Norman customary law was transcribed in two customaries in Latin by two judges for use by them and their colleagues: These are the Trs ancien coutumier (Very ancient customary), authored between 1200 and 1245; and the Grand coutumier de Normandie (Great customary of Normandy, originally Summa de legibus Normanniae in curia la?cali), authored between 1235 and 1245."	"not_entailment
"	
109912	Who won the battle of Lake George?	"The battle ended inconclusively, with both sides withdrawing from the field."	"entailment
"	a
106309	"What had Bhutto planned on banning within six months, before he was overthrown?"	"""In Pakistan this Islamization from above was """"probably"""" more complete """"than under any other regime except those in Iran and Sudan,"""" but Zia-ul-Haq was also criticized by many Islamists for imposing """"symbols"""" rather than substance, and using Islamization to legitimize his means of seizing power."""	"not_entailment
"	
105937	Who were otachi?	Confucian scholars were attracted to the medical profession because it ensured a high income and medical ethics were compatible with Confucian virtues.	"not_entailment
"	
109306	The church emphasizes the need to be in supportive ministry of what group?	"""The church also holds that they """"are equally bound to respect the sacredness of the life and well-being of the mother, for whom devastating damage may result from an unacceptable pregnancy."""	"not_entailment
"	m
108467	Before dinner what were Tesla's working hours?	"""The meal was required to be ready at eight o'clock ..."	"not_entailment
"	
105191	Where were interviews held while the parliament was in its temporary building?	This building was vacated twice to allow for the meeting of the Church's General Assembly.	"not_entailment
"	
109015	This type of system is known as	It was the primary protocol used by Apple devices through the 1980s and 90s.	"not_entailment
"	m
107325	In 1785 James Hutton presented what paper to the Royal Society of Edinburgh?	James Hutton is often viewed as the first modern geologist.	"not_entailment
"	
107711	What did these Lutheran clerics use as fuel to bolster the Policies of the Nazis?	"Other scholars argue that, even if his views were merely anti-Judaicthat is, opposed to Judaism and its adherence rather than the Jews as an ethnic grouptheir violence lent a new element to the standard Christian suspicion of Judaism."	"not_entailment
"	
109692	Who listed the Grainger Market architecture as grade 1 in 1954?	"The Grainger Market architecture, like most in Grainger Town, which are either grade I or II listed, was listed grade"	"not_entailment
"	
105440	What does critically tapered mean?	"Numerical models work in the same way as these analog models, though they are often more sophisticated and can include patterns of erosion and uplift in the mountain belt."	"not_entailment
"	
